Text,Target
ажилтны хүсэлтээр,өөрийн хүсэлтээр
ажлаа солих сонирхолоор,өөрийн хүсэлтээр
ажлаа хаяад хэл сураггүй алга болсон 20 хоногийн дараа гарлаа өөрөө гэдгээ утсаар ярьж хэлсэн,халагдсан
ажлаа өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
ажлаа өөрчлөх шаардлагаас,нутаг дотроо шилжин ажиллахаар болсон
ажлаас чөлөөлөгдсөн өөрийн хү сэлтээр,өөрийн хүсэлтээр
ажлаас чөлөөлөгдөв,халагдсан
ажлийн байр хол,өөрийн хүсэлтээр
ажлын байраа сольсон,нутаг дотроо шилжин ажиллахаар болсон
ажлын байрны цомхотголын улмаас ажлаас гарсан,халагдсан
ажлын нөхцөлөө өөрчлөх,нутаг дотроо шилжин ажиллахаар болсон
ажлын урилга ирсэн,нутаг дотроо шилжин ажиллахаар болсон
ажлын цаг их цалин бага,өөрийн хүсэлтээр
ажлын цомогтгол,халагдсан
ажлын шаардлагаар,өөрийн хүсэлтээр
аймаг дотроо шилжин амьдрах болсон,хот суурин газар руу шилжин ажиллахаар болсон
аймаг руу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймаг шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төв рүү гэр бүлээрээ шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төв рүү шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төв рүү шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төв шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төвд ажиллахаар ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төвд шилжин ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төвийн сургуульд орох зорилгоор шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төврүү шилжиж ирсэн,хот суурин газар руу шилжин ажиллахаар болсон
аймгийн төврүү шилжих болсон тул,хот суурин газар руу шилжин ажиллахаар болсон
албан байгууллага татан буугдсан,халагдсан
албан тушаал ахисан,дэвшин ажиллахаар
албан тушаал ахих,дэвшин ажиллахаар
албан тушаал дэвшсэн,дэвшин ажиллахаар
албан тушаал өөрчлөгдсөн,дэвшин ажиллахаар
амаржаад эргэж ажилдаа ороогүй,халагдсан
амаржсан эхийн оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
амаржсаны амралтын чөлөө,ажиллаж байгаа
амаржсаны хугацааны чөлөө авсан,ажиллаж байгаа
амарсан,ажиллаж байгаа
америк явсан,гадаад улс руу шилжин ажиллахаар болсон
амьдралын шаардлагаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
амьдрах орчны нөхцөлөөс,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
анагаах ухааны дээд сургуульд орох,мэргэжил дээшлүүлэхээр
ар гэр,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэр аймагт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэр бүл цөөн тул хотод ажиллах боломжгүй,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэр гачигдлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн амьдралаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн асуудал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн асуудалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн асуудлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн асуудлаар шилжих шаардлага гарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн асуудлын улмаас өөрийн хүсэлтээр чөлөөлөгдсөн,өөрийн хүсэлтээр
ар гэрийн байршил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачигдал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачигдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачигдлаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачигдлаар хөдөө орон нутагт шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачидал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн гачилдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн нөхцөлөөс хамаарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шаардлагаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалдтгаан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгаан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгаанаар шилжиж нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгаанаар шилжин суурьших болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгаанны улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шалтгааны улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ар гэрийн шилжилт хөдөлгөөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
арга зүйч албан тушаалд шилжсэн,дэвшин ажиллахаар
арга зүйч хийх болсон,дэвшин ажиллахаар
арга зүйчийн ажилд ажиллахаар ажлаас чөлөөлөгдсөн,халагдсан
арга зүйчээр,дэвшин ажиллахаар
арга зүйчээр ажилласан,дэвшин ажиллахаар
арга зүйчээр ажиллах болсон,дэвшин ажиллахаар
арга зүйчээр ажиллахаар болсон,дэвшин ажиллахаар
арга зүйчээр дэвшсэн,дэвшин ажиллахаар
арга зүйчээр тушаал дэвшиж,дэвшин ажиллахаар
архангай аймаг руу гэр бүлээ даган шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
архангай аймгийн төвд олон улсын төсөл хөтөлбөрт ажиллах болсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
архангай шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
архангайн багшийн сургуульд элссэн,мэргэжил дээшлүүлэхээр
ачаалал ихтэй,өөрийн хүсэлтээр
бгд57р цэцэрлэгт эрхлэгчээр томилогдсон,дэвшин ажиллахаар
бгдийн 57р цэцэрлэгт эрхлэгчээр томилогдсон,дэвшин ажиллахаар
бзд рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
бздн 10р цэцэрлэгрүү,нутаг дотроо шилжин ажиллахаар болсон
бие давхар болсон,жирэмсний амралт
бнд 194 цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
бнд 241р цэцэрлэг,нутаг дотроо шилжин ажиллахаар болсон
бнд ахмадын хороо,нутаг дотроо шилжин ажиллахаар болсон
бнд дүүрэгт шилжиж ирсэн,нутаг дотроо шилжин ажиллахаар болсон
бнд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
бндийн 241р цэцэрлэгт арга зүйчээр ажиллах болсон тул,нутаг дотроо шилжин ажиллахаар болсон
бнсу д сурахаар явсан,мэргэжил дээшлүүлэхээр
бнсуд гэрээгээр ажиллахаар,нутаг дотроо шилжин ажиллахаар болсон
бнхкк орсон,нутаг дотроо шилжин ажиллахаар болсон
бага ангийн багшаар орох шалтгаанаар,нутаг дотроо шилжин ажиллахаар болсон
бага боловсролын чиглэлээр ажиллах,нутаг дотроо шилжин ажиллахаар болсон
бага насны хүүхдээ харах шаардлагатай болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
бага насны хүүхдээ харах шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
бага насны хүүхэд харах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
багануур шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
багануурт дүүрэгт шилжих болсон,нутаг дотроо шилжин ажиллахаар болсон
багш болсон,ажиллаж байгаа
багшаар ажиллах,нутаг дотроо шилжин ажиллахаар болсон
багшаар суралцаж багш мэргэжилтэй болсон,дэвшин ажиллахаар
багшаар томилогдсон,дэвшин ажиллахаар
багшаар томилсон,дэвшин ажиллахаар
багшийн мэргэжил дээшлүүлэх,мэргэжил дээшлүүлэхээр
багшийн мэргэжил эзэмшсэн,ажиллаж байгаа
багшийн мэргэжлээрээ ажиллах болсон тул,өөрийн хүсэлтээр
багшийн оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
багшийн сургуулийн бакалаврын сургалтанд сурахаар,мэргэжил дээшлүүлэхээр
багшийн сургуульд сурхаар,мэргэжил дээшлүүлэхээр
байгуулга хаагдсан,халагдсан
байгууллага бүтцийн өөрчлөлтөнд орж өөрийн хүсэлтээр чөлөөлөгдсөн,өөрийн хүсэлтээр
байгууллага дотроо ажлын байр өөрчлөгдсөн,дэвшин ажиллахаар
байгууллага дотроо өөр ажилд шилжсэн,дэвшин ажиллахаар
байгууллага нүүсэн 3 дамжиж очдог болсон,өөрийн хүсэлтээр
байгууллага татан буугдсан,халагдсан
байгууллага хувьчлагдсан учир,халагдсан
байранд орсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байрлах байргүй учир,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил солигдсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил сольсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил хаяг өөрчлөгдсөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршил шалтгаанар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлийн өөрчлөлт,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлын шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
байршлын шалтгаанаар чөлөөлөгдсөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
батноров цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
батцэнгэл сумын нэгдэлд шилжиж ажиллах болсон,нутаг дотроо шилжин ажиллахаар болсон
батширээт сум шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
батширээт сумын цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
баянөлгий аймагруу нүүх болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
баяндэлгэр сум шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
баянхонгор аймаг руу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
баянхонгор аймагт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
баянхонгор аймгийн төвд мэргэжлийн ажлаа хийхээр ирсэн,ажиллаж байгаа
бие өвдсөн,эрүүл мэндийн улмаас
биеийн байдал,эрүүл мэндийн улмаас
биеийн байдлаас,эрүүл мэндийн улмаас
биеийн байдлаас,эрүүл мэндийн улмаас
биеийн байдлын улмаас,эрүүл мэндийн улмаас
биеийн тамирын багшаар суралцах,мэргэжил дээшлүүлэхээр
биеийн эрүүл мэндийн байдлын шалтгаанаар,эрүүл мэндийн улмаас
биеэ эмчлүүлэх,эрүүл мэндийн улмаас
биндэр сумын ебс д шилжиэ ажилласан,нутаг дотроо шилжин ажиллахаар болсон
боловсролын газар ажилд орсон,нутаг дотроо шилжин ажиллахаар болсон
булган аймаг гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
булган аймгийн хялганат тосгон шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
булган аймгийн төвд шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
булган суманд менежерээр ажмлласан,дэвшин ажиллахаар
бүл нэмж гэр бүлийнхээ хажууд байх,өөрийн хүсэлтээр
бүлгийн багшаар ажиллах болсон,дэвшин ажиллахаар
бүлгийн багшийн ажлыг 18 жил хийсэн 20180912 нд арга зүйчийн ажилд томилогдсон,дэвшин ажиллахаар
бүлгийн багш,дэвшин ажиллахаар
бүлгийн багш болсон,дэвшин ажиллахаар
бүлгийн багшаар ажиллах болсон,дэвшин ажиллахаар
бүлгийн багшаар ажиллах хүсэлтэй,дэвшин ажиллахаар
бүлгийн багшийн орон тоон дээр ажиллах,дэвшин ажиллахаар
бүтцийн өөрчлөлт,халагдсан
бүтэц орон тооны цомотгол,халагдсан
гаа чандмань бдсд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
гадаадад сурах,мэргэжил дээшлүүлэхээр
гэр ойртсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гадаад орон руу амьдрахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
гадаад улс руу явах,гадаад улс руу шилжин ажиллахаар болсон
гадаад улс руу явах болсон тул ажлаас гарсан,гадаад улс руу шилжин ажиллахаар болсон
гадаад улсруу явсан,гадаад улс руу шилжин ажиллахаар болсон
гадаад явах,гадаад улс руу шилжин ажиллахаар болсон
гадаад явах ажилаар,гадаад улс руу шилжин ажиллахаар болсон
гадаад явах болсон,гадаад улс руу шилжин ажиллахаар болсон
гадаад явахаар ажлаасаа гарсан,гадаад улс руу шилжин ажиллахаар болсон
гадаад явсан,гадаад улс руу шилжин ажиллахаар болсон
гадаад явсан,гадаад улс руу шилжин ажиллахаар болсон
гадаадад суралцах,мэргэжил дээшлүүлэхээр
гадаадад сурах болсон,мэргэжил дээшлүүлэхээр
гадаадад сурахаар,мэргэжил дээшлүүлэхээр
гадагшаа сургалтанд явахаар болсон,мэргэжил дээшлүүлэхээр
гадагшаа сургалтанд явахаар болсон учир,мэргэжил дээшлүүлэхээр
гадагшаа явах болсон,гадаад улс руу шилжин ажиллахаар болсон
гадагшаа явсан,гадаад улс руу шилжин ажиллахаар болсон
гадна мэргэжил дээшлүүлэхээр явсан,мэргэжил дээшлүүлэхээр
галтай хүүхдийн зуслан хүрэн булаг ххк ажиллаж байсан,ажиллаж байгаа
гараагүй,ажиллаж байгаа
гарсан,халагдсан
гачигдлаар увс аймагт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
говьсүмбэр аймаг шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
говьсүмбэр шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
гэотээ ойр ажилд орох,өөрийн хүсэлтээр
гэр нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүийн хүнээ дагаж өөр орон нутаг руу шилжсэн,өөрийн хүсэлтээр
гэр бүл аймгийн төвд шилжиж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүл зохиосон,өөрийн хүсэлтээр
гэр бүл шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүл өөр газар шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн байдал,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн байдалаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн байдалтай холбоотой,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн бизнес эрхлэх,өөрийн хүсэлтээр
гэр бүлийн хүн бндт ажиллах болсон тул өөрийн хүсэлтээр ажлаас чөлөөлөгдсөн,өөрийн хүсэлтээр
гэр бүлийн хүн шилжин ажиллах шалтгаанаар,өөрийн хүсэлтээр
гэр бүлийн хүний ажил шилжсэн учир,өөрийн хүсэлтээр
гэр бүлийн хүний ажлын шаардлагаар,өөрийн хүсэлтээр
гэр бүлийн хүний ажлын шаардлагаар,өөрийн хүсэлтээр
гэр бүлийн хүний нутагт шилжих,өөрийн хүсэлтээр
гэр бүлийн хүнээ даган,өөрийн хүсэлтээр
гэр бүлийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлийн шилшилт хөдөлгөөний улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээ дагаад орон нутагтаа ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээ дагаж нүүж шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээ даган шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээрээ улаанбаатар хотруу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
гэр бүлээрээ эрдэнэт хотод шилжиж ирсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
гэр бүлээрээ шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр бүлээрээ шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр маань орхон сум руу нүүсэн учраас гэрээ дагаж орхон сумын худалдаа бэлтгэлийн анги руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр нь улаанбаатар хотод шилжиж ирсэн,нутаг дотроо шилжин ажиллахаар болсон
гэр нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр ойр цэцэрлэгт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
гэр ойрхон газар ажилд орох,нутаг дотроо шилжин ажиллахаар болсон
гэр ойрхон цэцэрлэгт,нутаг дотроо шилжин ажиллахаар болсон
гэр улаанбаатарт суурьших болсон,хот суурин газар руу шилжин ажиллахаар болсон
гэр хануул дүүрэгт нүүсэн тул шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр хол,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр хол байсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр хол учраас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэр өөр тийшээ шилжин нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрийн ойр ажилд орох,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрийн ойр өөр цэцэрлэгт орох,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрийн хаяг шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрт ойрхон сургуульд,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртэй ойрхон орох шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртэйгээ ойртож ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртээ,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртээ ойр ажилд орох,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртээ ойртож,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртээ ойртсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэртээ ойрхон ажиллах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрээ дууссан,гэрээний хугацаа дууссан
гэрээний хугацаа дууссан,гэрээний хугацаа дууссан
гэрээр шилжиж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
гэрээт хугацаа дууссан,гэрээний хугацаа дууссан
гэрээтэй газраа очиж ажиллах,гэрээний хугацаа дууссан
дархан уул аймагт шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
дархан улиасхан цэцэрлэг рүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
